negative_knowledge_id,candidate_id,mechanism_family,hypothesis_tested,what_failed,failure_type,key_evidence,counterfactual_result,closure_reason,what_is_now_known,what_remains_unknown,future_firewall,can_be_reopened,permitted_use,prohibited_use,source_artifact
NEG-015,CAND-033,Event Sequence,WMR pre-fixing flow acceleration,Insufficient magnitude to beat friction,NEGATIVE_ABSOLUTE_ECONOMICS,Captured flow but insufficient magnitude,UNKNOWN,INSUFFICIENT — insufficient to beat friction,"Observable flow exists but magnitude insufficient for standalone economics",Whether combined with other components,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,DISC-044
NEG-016,CAND-034,Cross-Market,Metals macro confirmation ignition,Severe unhedged left tail,NEGATIVE_ABSOLUTE_ECONOMICS,Positive median but negative mean,UNKNOWN,INSUFFICIENT — left tail dominates,"Left-tail variance dominates mean expectancy",Whether hedged variant works,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,DISC-044
NEG-017,CAND-036,Structural,Structural PDH pre-market acceptance,Negative expectancy contradicted by unverified gap-up CF,CF_SUPERIOR,-16.15 mean net vs CF +13.95,CF SUPERIOR (+13.95),INSUFFICIENT — CF superior,"Treatment degrades opportunity relative to counterfactual; mechanism actively harmful",Whether other PDH definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-018,CAND-037,Cross-Market,Cross-index tech leadership divergence,Missing USA500 data,DATA_LIMITATION,Missing USA500,UNKNOWN,BLOCKED,Data availability blocker,Whether USA500 data becomes available,Requires data + new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-019,CAND-038,Event Sequence,Mid-day counter-trend reload,Single outlier drives positive mean; structurally negative median,OUTLIER_DEPENDENT,+4.69 mean net but -18.88 median net,UNKNOWN,INSUFFICIENT — outlier-dependent positive mean,"A positive mean created by a single extreme observation does not establish economically healthy artifact",Whether outlier-robust variant works,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-020,CAND-039,Structural,Structural gap-fill rejection,0 events due to over-constrained parameters,OVERCONSTRAINED,0 events,UNKNOWN,INSUFFICIENT — zero frequency,"Zero event frequency indicates lack of opportunity not necessarily false mechanism",Whether less constrained definition yields events,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-021,CAND-040,Volatility,Volatility compression expansion,CF dramatically superior (+92.21) vs treatment (-18.99),CF_SUPERIOR,-18.99 vs CF +92.21,CF SUPERIOR (+92.21),INSUFFICIENT — CF dramatically superior,"Mechanism hypothesis contradicted by empirical evidence; compression hypothesis fails",Whether other compression definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-022,CAND-041,Event Sequence,Post-OPEX unpinning drift,Extreme outlier dependence (+35 mean / -10 median),OUTLIER_DEPENDENT,+35 mean net but -10 median net,UNKNOWN,INSUFFICIENT — outlier-dependent,"Single outlier cannot establish robust economics",Whether robust variant works,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-023,CAND-043,Market Microstructure,European-close liquidity vacuum,Directly contradicts hypothesis,CONTRADICTED,-3.80 worse than flat morning,UNKNOWN,INSUFFICIENT — contradicts mechanism,"Dominant morning trend followed by vacuum yields worse performance than flat morning",Whether other definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-024,CAND-044,Event Sequence,Initial balance trap liquidation,CF superior; negative expectancy,CF_SUPERIOR,-40.20 vs CF -7.68,CF SUPERIOR (-7.68),INSUFFICIENT — CF superior,"Breaking massive morning trend yields worse results than breaking tight chop range",Whether other IB definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,DISC-058
NEG-025,CAND-045,Cross-Market,Safe-haven confirmed risk-off,CF (unconfirmed crashes) more profitable than treatment,CF_SUPERIOR,UNKNOWN,CF SUPERIOR,INSUFFICIENT — CF superior,"Unconfirmed equity crashes more profitable than confirmed crashes; safe-haven confirmation does not filter mean-reversion",Whether cross-market confirmation has value,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,DISC-058
NEG-026,CAND-046,Event Sequence,Opening print capitulation pivot,CF (chop) positive while treatment negative,CF_SUPERIOR,UNKNOWN,CF POSITIVE while treatment negative,INSUFFICIENT — CF superior,"Crossing the Open after massive excursion yields negative; chop crosses positive",Whether other capitulation definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,DISC-058
NEG-027,CAND-047,Market Microstructure,Fixing-window liquidity transfer,Negative expectancy; CF superior,CF_SUPERIOR,-43.62 vs CF -7.04,CF SUPERIOR (-7.04),INSUFFICIENT — CF superior,"Fixing-window transfer actively degrades opportunity relative to unconstrained chop",Whether other fixing-window definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-028,CAND-048,Event Sequence,Sequential macro-release dislocation,0 events — over-constrained definition,OVERCONSTRAINED,0 events,UNKNOWN,INSUFFICIENT — zero frequency,"Over-constrained mechanism definitions fail to provide sufficient opportunity frequency",Whether less constrained definition works,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-029,CAND-049,Cross-Market,Cross-market lead-lag asymmetry,0 events — over-constrained definition,OVERCONSTRAINED,0 events,UNKNOWN,INSUFFICIENT — zero frequency,"Over-constrained mechanism definitions fail to provide sufficient opportunity frequency",Whether less constrained definition works,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-030,CAND-050,Structural,Cash-session PDH liquidity sweep,CF superior (+39.86 vs +26.15),CF_SUPERIOR,+26.15 vs CF +39.86,CF SUPERIOR (+39.86),INSUFFICIENT — CF superior,"Mechanism actively degrades opportunity relative to generic sweep",Whether other PDH definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-031,CAND-051,Cross-Market,Precious metals ratio dislocation,N=1 — insufficient evidence,INSUFFICIENT_EVIDENCE,N=1,UNKNOWN,INSUFFICIENT — N=1,"Extremely insufficient sample",Whether more data becomes available,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-032,CAND-052,Volatility,Lunch-window volatility contraction breakout,Completely flat economics (+0.01 bps),NEGATIVE_ABSOLUTE_ECONOMICS,+0.01 bps mean net,UNKNOWN,INSUFFICIENT — flat economics,"Informational value does not equal tradeable economic value",Whether other definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-033,CAND-053,Settlement,Friday cash-close settlement reversion,Evidence-limited N=3 with negative economics,INSUFFICIENT_EVIDENCE,N=3 negative,UNKNOWN,INSUFFICIENT — N=3,"Low evidence prevents validation",Whether more data becomes available,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-034,CAND-054,Volatility,Post-shock volatility absorption,0 events,OVERCONSTRAINED,0 events,UNKNOWN,INSUFFICIENT — zero frequency,Zero frequency,Whether less constrained definition works,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-035,CAND-055,Structural,Initial balance false breakout,CF superior — Type 1 failure,CF_SUPERIOR,+17.93 vs CF +23.65,CF SUPERIOR (+23.65),INSUFFICIENT — CF superior Type 1 failure,"Strong absolute economics (+17.93) but CF materially superior (+23.65); mechanism value separate from absolute economics",Whether other IB definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,RESEARCH_TIMELINE.md
NEG-036,CAND-056,Structural failure,Post-sweep structural shift confirmation,Demanding structural shift actively degraded the sweep mechanism,CF_SUPERIOR,UNKNOWN,CF SUPERIOR,TYPE1_COUNTERFACTUAL_FAILURE,"Confirmation condition can actively reduce predictive value; removing a failed condition constitutes new hypothesis not rescue",Whether shift confirmation helps in other contexts,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-037,CAND-057,Event Sequence,Weekly opening gap fade exhaustion,0 frequency due to strict anchor requirement,OVERCONSTRAINED,0 events,UNKNOWN,INSUFFICIENT — zero frequency,Zero frequency from over-constraint,Whether less constrained definition works,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-038,CAND-058,Event Sequence,Large-range expansion first pullback trap,N=2 evidence-limited,INSUFFICIENT_EVIDENCE,N=2,UNKNOWN,INSUFFICIENT — N=2,"Extremely insufficient sample",Whether more data becomes available,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-039,CAND-060,Market Microstructure,NY equity close imbalance expansion,N=5 negative expectancy,INSUFFICIENT_EVIDENCE,N=5 negative,UNKNOWN,INSUFFICIENT — N=5 negative,"Low evidence with negative economics",Whether more data becomes available,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-040,CAND-061,Rejection,Consecutive 15-minute rejection sequence,N=2 negative expectancy,INSUFFICIENT_EVIDENCE,N=2 negative,UNKNOWN,INSUFFICIENT — N=2 negative,"Extremely insufficient sample with negative economics",Whether more data becomes available,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-041,CAND-062,Trend Exhaustion,Late-session trend exhaustion fade,Failed absolute expectancy and CF tests,NEGATIVE_ABSOLUTE_ECONOMICS,UNKNOWN,UNKNOWN,INSUFFICIENT,Negative expectancy and CF failure,Whether other session definitions work,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-042,CAND-063,Volatility,Asian session volatility compression,Non-adjudicable N=2,INSUFFICIENT_EVIDENCE,N=2,UNKNOWN,INSUFFICIENT — N=2 non-adjudicable,Extremely insufficient sample,Whether more data becomes available,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-043,CAND-064,Structural,Structural acceptance time-state,HYPOTHESIS FALSIFIED — sweep dramatically safer than acceptance,CONTRADICTED,Sweep N=2302 vs Acceptance N=1564 massive separation in opposite direction,UNKNOWN,HYPOTHESIS FALSIFIED,"Acceptance does NOT make level safer to retest; sweep does; falsification is valuable negative knowledge",Whether acceptance helps in other contexts,Permanent closure — hypothesis falsified; inverse quarantined,NO,Negative knowledge + quarantined inverse observation,Cannot use falsified hypothesis or unvalidated inverse,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-044,CAND-066,Structural,Fresh vs mitigated sweep,Inverse finding — fresh better for retests but mitigated better for fades,CONTRADICTED,UNKNOWN,UNKNOWN,INVERSE_FINDING,"Freshness is positive filter for retests (CAND-059) but negative filter for fading sweeps; State info not universally monotonic",Whether interaction of freshness with specific Alpha types works,Permanent closure,NO,Negative knowledge + mechanism insight,Cannot rescue CAND-066; inverse observation is exploratory,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-045,CAND-067,Structural,Cross-session reference sweep state,0 events,OVERCONSTRAINED,0 events,UNKNOWN,INSUFFICIENT — zero frequency,Zero frequency,Whether less constrained definition works,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-046,CAND-068,Market Microstructure,Post-shock absorption reversal,N=7 evidence-limited,INSUFFICIENT_EVIDENCE,N=7,UNKNOWN,INSUFFICIENT — N=7,"Insufficient sample",Whether more data becomes available,Requires new G0,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-047,CAND-070,Momentum,Sustained momentum micro-structure failure,HYPOTHESIS FALSIFIED — trend resumes not reverses,CONTRADICTED,UNKNOWN,UNKNOWN,HYPOTHESIS FALSIFIED,"Momentum does NOT fail as hypothesized; trend resumes; fading performs worse than chop",Whether momentum fails in different conditions,Permanent closure — hypothesis falsified,NO,Negative knowledge only,Cannot use falsified hypothesis,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-048,CAND-071,Cross-Market,Cross-market Gold-to-Tech information transmission,Negative absolute economics,NEGATIVE_ABSOLUTE_ECONOMICS,-1.99 bps,UNKNOWN,ECONOMICALLY NEGATIVE,Negative absolute economics despite conditional info,Whether cross-market has value under conditions,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-049,CAND-072,Range Dynamics,Friday range compression Monday breakout,Negative absolute economics,NEGATIVE_ABSOLUTE_ECONOMICS,-5.15 bps,UNKNOWN,ECONOMICALLY NEGATIVE,Negative absolute economics,Whether weekly patterns matter differently,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-050,CAND-073,Event Sequence,Mid-day reversal continuation,Negative absolute economics,NEGATIVE_ABSOLUTE_ECONOMICS,-1.98 bps,UNKNOWN,ECONOMICALLY NEGATIVE,Negative absolute economics,Whether mid-day reversals have continuation,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-051,CAND-074,Settlement,London Gold Fix settlement window,No directional value from fix window,NEGATIVE_ABSOLUTE_ECONOMICS,-1.72 bps,UNKNOWN,ECONOMICALLY NEGATIVE,"Fix window adds no directional value; settlement mechanisms fail",Whether settlement windows have directional value,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-052,CAND-075,Settlement,US equity closing auction,No directional value from closing auction,NEGATIVE_ABSOLUTE_ECONOMICS,-2.15 bps,UNKNOWN,ECONOMICALLY NEGATIVE,"Closing auction adds no directional value; settlement mechanisms fail",Whether closing auctions have directional value,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-053,CAND-076,Cross-Market,Gold-to-Tech overnight transmission,CF superior — Gold direction inversely related to Tech,CF_SUPERIOR,-2.14 bps vs CF +2.20 bps,CF SUPERIOR (+2.20 bps),CF SUPERIOR,"Gold direction signal inversely related to Tech; mechanism hypothesis contradicted",Whether Gold signal is inversely related to Tech,Permanent closure — extension of CAND-071,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-054,CAND-078,Trend Exhaustion,Trend exhaustion transition,CF superior by 0.25 bps,CF_SUPERIOR,-2.21 bps vs CF -1.96 bps,CF SUPERIOR (-0.25 bps),COUNTERFACTUAL INFERIORITY,CF outperforms treatment,Whether exhaustion works in different definitions,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V26.md
NEG-055,CAND-080,Volatility/Regime,Volatility regime quality transition (smooth to choppy),CF failed — zero events for already-choppy condition,COUNTERFACTUAL_INVALID,0 events in CF population,INVALID (0 events),COUNTERFACTUAL INVALID,"CF population has zero events; mechanism hypothesis untestable with this design",Whether regime quality matters under different definitions,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V27.md
NEG-056,CAND-082,Volatility/Regime,Post-expansion retracement quality state,State hypothesis contradicted — quality retracements worse on median,HYPOTHESIS_CONTRADICTED,CF delta +0.96 mean but -1.63 median MIXED,UNKNOWN,STATE HYPOTHESIS CONTRADICTED,"Quality retracements worse than poor retracements on median; quality State hypothesis contradicted",Whether retracement quality matters differently,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V27.md
NEG-057,CAND-084,Volatility/Regime,Range compression to expansion asymmetry,Redundant with CAND-077 — identical mechanism,REDUNDANT_MECHANISM,CF delta +0.14 bps negligible; mechanism identical to CAND-077,VALID but negligible,REDUNDANT — identical mechanism to CAND-077,"Compression to expansion mechanism already covered by CAND-077; no new information",N/A — redundant,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md
NEG-058,CAND-085,Path Dependence,Approach velocity determines breakout continuation,CF invalid — zero low-velocity events,COUNTERFACTUAL_INVALID,0 events in CF population,INVALID (0 events),COUNTERFACTUAL INVALID,"CF population has zero events; approach velocity hypothesis untestable with this design",Whether approach velocity matters under different definitions,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V28.md
NEG-059,CAND-086,Information Failure,Repeated failed directional moves create trapped-participant state,Negligible conditional delta (+0.07 mean / -0.03 median),WEAK_CONDITIONAL_INFORMATION,+0.07 mean delta -0.03 median delta,VALID but negligible,ECONOMICALLY NEGATIVE — negligible separation,"Information absorption failure mechanism shows no meaningful conditional information",Whether absorption failures matter in different definitions,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V29.md
NEG-060,CAND-087,Recovery Quality,Post-disturbance recovery quality differential,Weak conditional delta (+0.23 mean / -0.03 median) — too weak for State,WEAK_CONDITIONAL_INFORMATION,+0.23 mean delta -0.03 median delta,VALID but weak,INFORMATIONALLY INTERESTING but too weak for State,"Recovery quality mechanism shows weak conditional information; insufficient for State preservation",Whether recovery quality matters in different definitions,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V29.md
NEG-061,CAND-088,Path Dependence,Opening bias vs structural break path dependence,HYPOTHESIS CONTRADICTED — CF (aligned breaks) superior by +19.59 bps,CF_SUPERIOR,-15.51 vs CF +4.07 bps,CF SUPERIOR (+4.07 bps),"HYPOTHESIS CONTRADICTED — aligned-direction structural breaks outperform opposite-direction breaks",Whether path dependence operates differently under different definitions,Permanent closure — aligned-break observation quarantined as exploratory,NO,Negative knowledge + quarantined exploratory observation,Cannot use contradicted hypothesis; aligned-break requires new G0,TRADEABLE_EDGE_DISCOVERY_SCREENING_V29.md
NEG-062,CAND-056,Structural failure,Post-sweep structural shift confirmation,Confirmation condition actively degraded predictive value,CF_SUPERIOR,UNKNOWN,UNKNOWN,TYPE1_COUNTERFACTUAL_FAILURE,"Confirmation conditions can actively reduce predictive value; removing a failed condition constitutes new hypothesis not rescue",Whether confirmation helps in other contexts,Permanent closure,NO,Negative knowledge only,Cannot be used as positive input,TRADEABLE_EDGE_DISCOVERY_SCREENING_V25.md
NEG-063,CAND-021,Volatility,Pre-entry D1 volatility state filter,Descriptive G2 reproduction contradicted by G3 permutation test,HYPOTHESIS_CONTRADICTED,G3 permutation p=0.90,CONTRADICTED (G3),G3 CONTRADICTED — line closed,"Descriptive reproduction was statistically identical to chance; pre-entry state did not produce genuine conditional effect",Whether other volatility states might work,Permanent closure — no rescue,NO,Negative knowledge only,Cannot be used as positive input,DISC-034
NEG-064,CAND-032,Structural,NY open structural momentum ignition,Strong G1/G2 economics but G3 scientific standard not met due to variance,HYPOTHESIS_CONTRADICTED,G3 permutation p=0.1133; 95% CI [-24.79 +20.94],INCONCLUSIVE (G3),"Strong out-of-sample economics can remain scientifically non-adjudicable if variance prevents mechanism isolation",Whether hedged variant could pass G3,Permanent closure — no rescue,NO,Negative knowledge only,Cannot be used as positive input,DISC-048
NEG-065,DISC-021,Mean Reversion,XAGUSD mean reversion under observed costs,ECONOMICALLY NON-VIABLE — observed transaction costs consume entire gross effect,NEGATIVE_ABSOLUTE_ECONOMICS,"Gross +10.66 bp/2h; observed round-trip spread median 9.09 bp; net +0.77 bp with CI spanning zero",UNKNOWN,MEAN REVERSION LINE CLOSED — ECONOMICALLY NON-VIABLE,"Statistical detectability does not establish economic viability; observed costs consume effect",Whether different cost models change conclusion,Permanent closure — no rescue,NO,Negative knowledge only,Cannot be used as positive input,DISC-021
NEG-066,DISC-022,TSMOM,Fixed 12/1 TSMOM candidate,Cross-era replication failure — contemporary direction opposite historical,HYPOTHESIS_CONTRADICTED,Historical +0.67%/month but Contemporary -1.10%/month,UNKNOWN,TSMOM LINE CLOSED — NOT PROMOTABLE,"Fixed 12/1 TSMOM does not produce stable incremental edge above drift across eras; closure does NOT disprove trend following in general",Whether other TSMOM formulations work,Permanent closure — no rescue; new hypothesis required,NO,Negative knowledge only,Cannot be used as positive input; only the fixed 12/1 candidate is closed,DISC-022
NEG-067,DISC-023,H01 Equity,H01 Equity Track A economic translation,ECONOMIC FAILURE — failed dual-era stability gate,CONTEMPORARY_FAILURE,Historical FAIL (-0.00144) but Contemporary PASS (+0.00078),UNKNOWN,H01 EQUITY TRACK A CLOSED — ECONOMIC FAILURE,"Classic volatility-response asymmetry remains scientifically supported; economic translation not stable across eras",Whether other economic translations work,Permanent closure — no rescue; scientific finding preserved,NO,Negative knowledge only — scientific finding preserved separately,Cannot be used as positive input; scientific SUPPORT results not invalidated,DISC-023
NEG-068,DISC-025,Liquidity Sweep,Liquidity sweep / reversal economic translation,ECONOMICALLY NON-VIABLE in all four markets — gross-negative before costs,NEGATIVE_ABSOLUTE_ECONOMICS,"Median gross: XAUUSD -5.3, XAGUSD -11.6, USATECHIDXUSD -5.0, BTCUSD -11.8 bp; win rates 19-26%",UNKNOWN,LIQUIDITY SWEEP LINE CLOSED — ECONOMICALLY NON-VIABLE,"Validated behavioral excursion exists but economic translation captures only a fraction; confirmation-close entry too far beyond level",Whether different entry models capture excursion,Permanent closure — no rescue,NO,Negative knowledge only; behavioral discovery preserved,Cannot be used as positive input,DISC-025
NEG-069,DISC-026,Opening Range,ORD XAGUSD economic translation,ECONOMICALLY NON-VIABLE — median net -12.404 bp win rate 9.1%,NEGATIVE_ABSOLUTE_ECONOMICS,"Median net -12.404 bp; Win Rate 9.1%",UNKNOWN,ORD XAGUSD ECONOMIC TRANSLATION CLOSED,"Scientifically supported behavior but economic translation strictly negative",Whether different execution models work,Permanent closure — no rescue; scientific finding preserved,NO,Negative knowledge only; scientific finding preserved separately,Cannot be used as positive input,DISC-026
