object_id,source_stream,source_milestone,parent_object,object_type,name,research_question,mechanism_family,market,timeframe,artifact_path,status,scientific_status,economic_status,governance_status,reusable_knowledge,reuse_allowed,reuse_condition,relational_admissibility,prior_art_relation,provenance,notes
QF:CAND-088:ALIGNED_BREAK,QUANTFORGE_RF,V29,,EXPLORATORY_OBSERVATION,Aligned-Direction Structural Break Observation,Do aligned-direction structural breaks outperform?,Path Dependence,USATECHIDXUSD,M1,RESEARCH_FACTORY_V2_G1_SCREEN_20260830_V29.md,EXPLORATORY,NOT_TESTED,EXPLORATORY_POSITIVE,EXPLORATORY,N=556; +4.07 bps net mean; 58.3% WR; inside contradicted CF,NO,REQUIRES NEW G0,NOT_ADMISSIBLE,POSSIBLE_RELATIONSHIP_WITH_SMC,RESEARCH_FACTORY_V2_G1_SCREEN_20260830_V29.md,Exploratory only; provenance inside contradicted hypothesis CF
APEX:V01,APEX_CORE,RC012/M34,,SCIENTIFIC_PRIMITIVE,HIGH_VOL Distributional Primitive,Is HIGH_VOL a distributional primitive of EURUSD/XAUUSD volatility?,Volatility,EURUSD,M15,reports/RC012_Study_004_Volatility_Distribution_Analysis.md,CLOSED,VALIDATED,NO_ECONOMIC_TEST,CLOSED,HIGH_VOL primitive = reusable scientific asset,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,POSSIBLE_RELATIONSHIP_WITH_QF_CAND077,reports/RC012_Study_004_Volatility_Distribution_Analysis.md,M1 scientific primitive; D=0.193 C=0.666
APEX:V02,APEX_CORE,RC012/M34,,SCIENTIFIC_PRIMITIVE,HIGH_VOL Persistence Lifecycle,Is HIGH_VOL persistence non-memoryless?,Volatility,EURUSD,M15,reports/RC012_Study_004_Volatility_Distribution_Analysis.md,CLOSED,VALIDATED,NO_ECONOMIC_TEST,CLOSED,Non-memoryless persistence p<0.0001 n=794,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,UNKNOWN,reports/RC012_Study_004_Volatility_Distribution_Analysis.md,M1 scientific primitive
APEX:V03,APEX_CORE,M17-R2/M15,,SCIENTIFIC_PRIMITIVE,HIGH_VOL Onset Predictability,Can HIGH_VOL episode duration be predicted OOS?,Volatility,EURUSD,M15,reports/APEX_M17R2_Conditional_Predictability_Experiment.md,CLOSED,VALIDATED,NO_ECONOMIC_TEST,CLOSED,C-index 0.6656; OOS survival prediction,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,UNKNOWN,reports/APEX_M17R2_Conditional_Predictability_Experiment.md,M2 predictive primitive
APEX:V04,APEX_CORE,M17-R2/M21,,SCIENTIFIC_PRIMITIVE,HIGH_VOL Forward RV Translation,Does predicted persistence translate to forward RV?,Volatility,EURUSD,M15,reports/APEX_M21_PredictedPersistence_RV_Translation_Experiment.md,CLOSED,VALIDATED,NO_ECONOMIC_TEST,CLOSED,Forward RV translation p=0.0032,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,UNKNOWN,reports/APEX_M21_PredictedPersistence_RV_Translation_Experiment.md,M2 translation finding
APEX:V05,APEX_CORE,M17-R2/M27,,SCIENTIFIC_PRIMITIVE,HIGH_VOL Excursion Envelope,Does predicted persistence translate to price extremes?,Volatility,EURUSD,M15,reports/APEX_M27_Extremum_Boundary_Translation_Experiment.md,CLOSED,VALIDATED,NO_ECONOMIC_TEST,CLOSED,Extremum boundary translation p=7.5e-05,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,UNKNOWN,reports/APEX_M27_Extremum_Boundary_Translation_Experiment.md,M2 translation finding
APEX:V06,APEX_CORE,M17-R2/M24,,NEGATIVE_ECONOMIC,HIGH_VOL Directional Translation,Does predicted persistence translate to directional drift?,Volatility,EURUSD,M15,reports/APEX_M24_Directional_Translation_Experiment.md,CLOSED,REJECTED,REJECTED,CLOSED,Directional edge absent p=0.6418,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_M24_Directional_Translation_Experiment.md,Direction eliminated
APEX:V07,APEX_CORE,M39-R2,,SCIENTIFIC_PRIMITIVE,Session-Transition LNO Distribution Difference,Is there a distributional difference at session transition?,Session Timing,EURUSD,1h,reports/APEX_M39R2_Session_Transition_Distributional_Asymmetry_Experiment.md,CLOSED,VALIDATED,NO_ECONOMIC_TEST,CLOSED,AD=228.38 p=0.0001 distributional difference,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,UNKNOWN,reports/APEX_M39R2_Session_Transition_Distributional_Asymmetry_Experiment.md,M1/M2 primitive
APEX:V08,APEX_CORE,M41,,SCIENTIFIC_PRIMITIVE,LNO Scale Component,What drives the session-transition difference?,Session Timing,EURUSD,1h,reports/APEX_M41_Distributional_Component_Experiment.md,CLOSED,VALIDATED,NO_ECONOMIC_TEST,CLOSED,LNO 1.65x more dispersed p=0.0001,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,UNKNOWN,reports/APEX_M41_Distributional_Component_Experiment.md,M1/M2 scale finding
APEX:V09,APEX_CORE,M41,,NEGATIVE_ECONOMIC,LNO Location Component,Is there a location premium in session transitions?,Session Timing,EURUSD,1h,reports/APEX_M41_Distributional_Component_Experiment.md,CLOSED,REJECTED,REJECTED,CLOSED,Location p=0.437 no premium,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_M41_Distributional_Component_Experiment.md,Location rejected
APEX:V10,APEX_CORE,IC3,,SCIENTIFIC_PRIMITIVE,BTC HIGH_VOL Transferability,Does HIGH_VOL transfer to BTC?,Volatility,BTC,M15,reports/APEX_IC3_BTC_Transferability_Experiment.md,CLOSED,VALIDATED,NO_ECONOMIC_TEST,CLOSED,C-index 0.6224 transferability validated,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,UNKNOWN,reports/APEX_IC3_BTC_Transferability_Experiment.md,M2 transferability
APEX:V11,APEX_CORE,IC3,,SCIENTIFIC_PRIMITIVE,BTC Forward RV Translation,Does BTC predicted persistence translate to forward RV?,Volatility,BTC,M15,reports/APEX_IC3_BTC_Transferability_Experiment.md,CLOSED,VALIDATED,NO_ECONOMIC_TEST,CLOSED,p=0.000011 forward RV translation,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,UNKNOWN,reports/APEX_IC3_BTC_Transferability_Experiment.md,M2 translation
APEX:V12,APEX_CORE,IC7,,NEGATIVE_ECONOMIC,BTC Long Straddle,Does BTC long straddle capture VRP?,Volatility,BTC,options,reports/APEX_IC7_BTC_Straddle_Economic_Experiment.md,CLOSED,VALIDATED,REJECTED,CLOSED,Large VRP observed but long straddle p=0.953 mean PnL=-$130,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_IC7_BTC_Straddle_Economic_Experiment.md,Long straddle failed
APEX:V13,SMC_STREAM,SMC-R1..R9,,SCIENTIFIC_PRIMITIVE,SMC Structural M1 Primitives,Are BOS/OB/FVG/CHOCH/sweep/swing/freshness deterministic?,Structural,XAUUSD,M1,research/SMC_RESEARCH/SMC_R1_STRUCTURAL_MODEL_SPECIFICATIONS.md,INTEGRATED,VALIDATED,NO_ECONOMIC_TEST,INTEGRATED,Deterministic and reproducible primitives,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,POSSIBLE_RELATIONSHIP_WITH_QF_CAND081,research/SMC_RESEARCH/SMC_R1_STRUCTURAL_MODEL_SPECIFICATIONS.md,Architecture + extraction validated
SMC:R4_GROSS,SMC_STREAM,SMC-R4,,SCIENTIFIC_PRIMITIVE,BOS+OB Gross Effect,What is the gross BOS+OB event effect?,Structural,XAUUSD,M1,research/SMC_RESEARCH/experiments/SMC_R4_BOS_OB_Experiment.md,INTEGRATED,VALIDATED,NO_ECONOMIC_TEST,INTEGRATED,Gross +1.01 bps/event 123386 events,YES,BACKGROUND ONLY; REQUIRES NEW ECONOMIC HYPOTHESIS,CONDITIONALLY_ADMISSIBLE,UNKNOWN,research/SMC_RESEARCH/experiments/SMC_R4_BOS_OB_Experiment.md,Gross effect only
SMC:R6_FAILED,SMC_STREAM,SMC-R6,,NEGATIVE_ECONOMIC,BOS+OB M4 Qualification,Does BOS+OB qualify as M4 economic module?,Structural,XAUUSD,M1,research/SMC_RESEARCH/experiments/SMC_R6_BOS_OB_M4_Qualification_Experiment.md,CLOSED,VALIDATED,M4_FAILED,CLOSED,Net -1347.31 bp/day; OOS -751.34; p=0.500,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,research/SMC_RESEARCH/experiments/SMC_R6_BOS_OB_M4_Qualification_Experiment.md,M4 economic failure
SMC:R7_FAILED,SMC_STREAM,SMC-R7,,NEGATIVE_ECONOMIC,BOS+OB Frequency Compression Rescue,Can frequency compression make BOS+OB viable?,Structural,XAUUSD,M1,research/SMC_RESEARCH/validation/SMC_R7_Frequency_Compression_Adjudication.md,CLOSED,NOT_TESTED,NOT_VIABLE,CLOSED,Compression alternatives scored; no rescue,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,research/SMC_RESEARCH/validation/SMC_R7_Frequency_Compression_Adjudication.md,Closed path
SMC:R9_FAILED,SMC_STREAM,SMC-R9,,NEGATIVE_ECONOMIC,CHOCH M3 Qualification,Does standalone CHOCH produce positive net?,Structural,XAUUSD,M1,research/SMC_RESEARCH/experiments/SMC_R9_CHOCH_Experiment.md,CLOSED,VALIDATED,M3_FAILED,CLOSED,Net -17.03 bps; gross +0.89 bps,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,research/SMC_RESEARCH/experiments/SMC_R9_CHOCH_Experiment.md,M3 economic failure
SMC:R10_GOVERNANCE,SMC_STREAM,SMC-R10,,GOVERNANCE,Qualification Framework,APEX-wide economic qualification framework,Governance,UNKNOWN,UNKNOWN,research/SMC_RESEARCH/architecture/SMC_R10_Economic_Qualification_Framework.md,INTEGRATED,NOT_APPLICABLE,NOT_APPLICABLE,INTEGRATED,R10 qualification principles reusable,YES,BACKGROUND,ADMISSIBLE,UNKNOWN,research/SMC_RESEARCH/architecture/SMC_R10_Economic_Qualification_Framework.md,Governance framework
SMC:R11_GOVERNANCE,SMC_STREAM,SMC-R11,,GOVERNANCE,Rare-Event Module Framework,Rare-event/module governance framework,Governance,UNKNOWN,UNKNOWN,research/SMC_RESEARCH/architecture/SMC_R11_Rare_Event_Module_Framework.md,INTEGRATED,NOT_APPLICABLE,NOT_APPLICABLE,INTEGRATED,R11 principles reusable (rare != weak),YES,BACKGROUND,ADMISSIBLE,UNKNOWN,research/SMC_RESEARCH/architecture/SMC_R11_Rare_Event_Module_Framework.md,Governance framework
APEX:C01,CLOSED_PATH,M34,,NEGATIVE_ECONOMIC,HIGH_VOL Spot Monetization,Can HIGH_VOL be monetized via spot/synthetic straddle?,Volatility,EURUSD,M15,reports/RC012_Study_006_Volatility_Monetization.md,CLOSED,VALIDATED,FAILED,CLOSED,All spot architectures rejected; non-deployable PoC,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/RC012_Study_006_Volatility_Monetization.md,Closed path
APEX:C02,CLOSED_PATH,M31,,NEGATIVE_ECONOMIC,HIGH_VOL Static Boundary,Can dispersion boundary economics be monetized?,Volatility,EURUSD,M15,reports/APEX_M31_Dispersion_Boundary_Experiment.md,CLOSED,NOT_TESTED,FAILED,CLOSED,No independent economic payoff,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_M31_Dispersion_Boundary_Experiment.md,Closed path
APEX:C03,CLOSED_PATH,M33,,NEGATIVE_ECONOMIC,HIGH_VOL Dynamic Translation,Is dynamic translation defensible?,Volatility,EURUSD,M15,reports/APEX_M33_FINAL_Control_Adjudication.md,CLOSED,NOT_TESTED,NOT_DEFENSIBLE,CLOSED,Not defensible,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_M33_FINAL_Control_Adjudication.md,Closed path
APEX:C05,CLOSED_PATH,RC013,,NEGATIVE_ECONOMIC,Session Raw Breakout,Can session raw breakout be monetized?,Session Timing,XAUUSD,M1,reports/RC013_Study_004_Session_Breakout_Analysis.md,CLOSED,NOT_TESTED,FAILED,CLOSED,Monetization failed,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/RC013_Study_004_Session_Breakout_Analysis.md,Closed path
APEX:C06,CLOSED_PATH,M42,,NEGATIVE_ECONOMIC,Session-Transition Standalone Economy,Does session-transition scale have standalone economic pathway?,Session Timing,EURUSD,1h,reports/APEX_M42_Economic_Mechanism_Adjudication.md,CLOSED,NOT_TESTED,NO_MECHANISM_JUSTIFIED,CLOSED,No standalone or modular pathway,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_M42_Economic_Mechanism_Adjudication.md,Closed path
APEX:C07,CLOSED_PATH,M42,,NEGATIVE_ECONOMIC,Session-Transition Modular Pathway,Does session-transition have modular economic pathway?,Session Timing,EURUSD,1h,reports/APEX_M42_Economic_Mechanism_Adjudication.md,CLOSED,NOT_TESTED,NO_MECHANISM_JUSTIFIED,CLOSED,No validated base module,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_M42_Economic_Mechanism_Adjudication.md,Closed path
APEX:C08,CLOSED_PATH,RC015,,NEGATIVE_ECONOMIC,CME Listed Options,Can CME listed options monetize HIGH_VOL info?,Options,CME EUR/USD,options,reports/RC015_FINAL_ADJUDICATION.md,CLOSED,NOT_TESTED,INFEASIBLE,CLOSED,Liquidity infeasible,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/RC015_FINAL_ADJUDICATION.md,Closed path
APEX:C09,CLOSED_PATH,IC7,,NEGATIVE_ECONOMIC,BTC Long Straddle,Does BTC long straddle capture VRP?,Volatility,BTC,options,reports/APEX_IC7_BTC_Straddle_Economic_Experiment.md,CLOSED,VALIDATED,REJECTED,CLOSED,p=0.953 mean PnL=-$130,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_IC7_BTC_Straddle_Economic_Experiment.md,Closed path
APEX:C10,CLOSED_PATH,IC8,,NEGATIVE_ECONOMIC,Crypto-Options Alternatives,Are there viable crypto-options alternatives?,Options,BTC,options,reports/APEX_IC8_Economic_Mechanism_Discovery.md,CLOSED,NOT_TESTED,REJECTED,CLOSED,All scored <35/50; no distinct mechanism,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_IC8_Economic_Mechanism_Discovery.md,Closed path
APEX:C11,CLOSED_PATH,RC014,,NEGATIVE_ECONOMIC,Cross-Asset Transmission,Does volatility transmit across assets?,Cross-Market,EURUSD/other,M15,reports/RC014_Study_001_Cross_Asset_Volatility_Analysis.md,CLOSED,NOT_TESTED,REJECTED,CLOSED,Transmission hypothesis rejected for tested pairs,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/RC014_Study_001_Cross_Asset_Volatility_Analysis.md,Closed path
APEX:C14,CLOSED_PATH,M49,,NEGATIVE_ECONOMIC,Funding/Carry Prediction,Does perpetual funding/carry have economic mechanism?,Funding,BTC,perpetual,reports/APEX_M49_Funding_Mechanism_Rediscovery.md,CLOSED,NOT_TESTED,NOT_ESTABLISHED,CLOSED,1-3bp funding < 5-12bp costs; no validated predictor,NO,PERMANENT CLOSURE,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_M49_Funding_Mechanism_Rediscovery.md,Closed path
BOT:B001,CUSTOM_BOT_OBSERVED,USER-SUPPLIED,,EXTERNAL_OBSERVATION,Custom-Bot Week-6 Observations,What does custom-bot operational data observe?,Multiple,XAUUSD,M1,NOT_FOUND,OBSERVED,NOT_VALIDATED,NOT_VALIDATED,PENDING,R-Velocity / ATR / ADX / volume / sessions / stale cache / execution,NO,REQUIRES REPOSITORY AUDIT + CONTROL AUTHORIZATION,NOT_ADMISSIBLE,UNKNOWN,NOT_FOUND,Source NOT FOUND on disk; unaudited
W001,APEX_WATCHLIST,W1/APEX-TASK03,,WATCHLIST,Commodity Convenience Yield / Inventory Term Structure,Does commodity convenience yield have economic mechanism?,Funding/Carry,XAUUSD,futures,reports/APEX_TASK03_PAUSE_RESTART_WATCHLIST.md,WATCHLIST,NOT_TESTED,NOT_TESTED,WATCHLIST,No futures-curve dataset; not authorized,NO,REQUIRES NEW DATASET (TRIGGER T1) + CONTROL AUTHORIZATION,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_TASK03_PAUSE_RESTART_WATCHLIST.md,Watchlist only
W002,APEX_WATCHLIST,W2/APEX-TASK03,,WATCHLIST,New Liquid Venue/Instrument for Vol Info,Does a new venue unlock independent payoff for vol info?,Volatility,UNKNOWN,UNKNOWN,reports/APEX_TASK03_PAUSE_RESTART_WATCHLIST.md,WATCHLIST,NOT_TESTED,NOT_TESTED,WATCHLIST,No venue exists today,NO,REQUIRES NEW VENUE (TRIGGER T2) + CONTROL AUTHORIZATION,NOT_ADMISSIBLE,UNKNOWN,reports/APEX_TASK03_PAUSE_RESTART_WATCHLIST.md,Watchlist only
